XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-3.878, 7.956, -3.956, 8.062, 0, 5, 22.8, 544791469
-3.924, 8.026, -3.847, 8.033, 0, 5, 23.6, 544792384
-3.960, 8.064, -3.944, 8.106, 0, 5, 23.2, 544793374
-3.973, 8.081, -3.936, 8.169, 0, 5, 23.5, 544794389
-3.985, 8.116, -4.169, 8.183, 0, 5, 23.2, 544795376
-4.014, 8.121, -3.966, 8.112, 0, 5, 23.0, 544796472
-4.022, 8.131, -4.016, 8.068, 0, 5, 23.2, 544797466
-4.046, 8.132, -3.901, 8.181, 0, 5, 23.3, 544798455
-4.034, 8.122, -3.979, 8.130, 0, 5, 23.0, 544799471
-4.048, 8.120, -3.966, 8.067, 0, 5, 23.5, 544800471
-4.047, 8.129, -3.936, 8.099, 0, 5, 23.1, 544801479
-4.029, 8.127, -3.890, 8.112, 0, 5, 22.9, 544802501
-4.023, 8.129, -3.942, 8.064, 0, 5, 22.8, 544803426
-4.024, 8.131, -3.971, 8.177, 0, 5, 23.5, 544803521
-4.025, 8.129, -3.930, 8.033, 0, 5, 23.4, 544803615
-4.022, 8.131, -3.954, 8.110, 0, 5, 23.0, 544803711
-4.021, 8.127, -3.832, 8.028, 0, 5, 23.1, 544803806
-4.022, 8.125, -3.946, 8.018, 0, 5, 23.0, 544803897
-4.025, 8.128, -4.031, 8.204, 0, 5, 23.6, 544803990
-4.025, 8.129, -3.881, 8.041, 0, 5, 23.3, 544804081
-4.028, 8.130, -4.074, 8.199, 0, 5, 23.1, 544804183
-4.031, 8.129, -3.920, 8.167, 0, 5, 23.7, 544804276
-4.031, 8.127, -3.880, 8.178, 0, 5, 23.1, 544804365
-4.033, 8.127, -4.016, 8.105, 0, 5, 23.0, 544804460
-4.030, 8.127, -3.909, 8.197, 0, 5, 23.0, 544804552
-4.035, 8.128, -3.975, 8.177, 0, 5, 23.4, 544804637
-4.036, 8.130, -3.976, 8.055, 0, 5, 23.1, 544804729
-4.033, 8.129, -3.885, 8.003, 0, 5, 23.1, 544804834
-4.034, 8.127, -3.853, 8.109, 0, 5, 23.2, 544804943
-4.036, 8.131, -3.841, 8.206, 0, 5, 22.8, 544805039
-4.038, 8.130, -3.890, 8.152, 0, 5, 23.2, 544805131
-4.038, 8.127, -3.983, 8.040, 0, 5, 23.1, 544805227
-4.043, 8.129, -4.056, 8.017, 0, 5, 23.7, 544805304
-4.042, 8.129, -3.958, 8.127, 0, 5, 23.0, 544805400
-4.044, 8.132, -4.036, 8.116, 0, 5, 23.4, 544805511
-4.042, 8.131, -3.821, 8.118, 0, 5, 23.0, 544805619
-4.042, 8.130, -3.989, 8.166, 0, 5, 23.1, 544805728
-4.044, 8.129, -3.918, 8.177, 0, 5, 23.0, 544805797
-4.046, 8.131, -4.038, 8.058, 5, 5, 22.9, 544805898
-4.051, 8.128, -4.001, 8.091, 5, 5, 23.4, 544806012
-4.056, 8.131, -3.967, 8.068, 5, 5, 23.0, 544806105
-4.059, 8.131, -3.921, 8.121, 5, 5, 22.7, 544806192
-4.060, 8.131, -3.795, 8.176, 6, 5, 23.5, 544806305
