XKALM, YKALM, XCZYST, YCZYST

    
-2.679, 13.573, -2.641, 13.447
-2.679, 13.572, -2.538, 13.492
-2.679, 13.572, -2.643, 13.561
-2.678, 13.574, -2.594, 13.548
-2.678, 13.580, -2.424, 13.610
-2.676, 13.580, -2.438, 13.585
-2.678, 13.579, -2.574, 13.597
-2.679, 13.578, -2.553, 13.582
-2.679, 13.579, -2.533, 13.515
-2.680, 13.578, -2.448, 13.645
-2.681, 13.581, -2.684, 13.473
-2.682, 13.580, -2.519, 13.506
-2.680, 13.581, -2.380, 13.658
-2.681, 13.585, -2.627, 13.469
-2.679, 13.586, -2.539, 13.606
-2.678, 13.582, -2.512, 13.552
-2.679, 13.582, -2.532, 13.701
-2.678, 13.580, -2.603, 13.516
-2.678, 13.578, -2.541, 13.534
-2.678, 13.579, -2.519, 13.585
-2.680, 13.578, -2.527, 13.465
-2.680, 13.577, -2.524, 13.669
-2.682, 13.582, -2.508, 13.605
-2.682, 13.579, -2.534, 13.451
-2.684, 13.578, -2.560, 13.632
-2.682, 13.576, -2.569, 13.547
-2.680, 13.577, -2.480, 13.503
-2.677, 13.576, -2.609, 13.535
-2.674, 13.575, -2.504, 13.536
-2.675, 13.574, -2.569, 13.536
-2.677, 13.574, -2.524, 13.607
-2.678, 13.573, -2.558, 13.594
-2.676, 13.573, -2.378, 13.577
-2.677, 13.573, -2.579, 13.448
-2.679, 13.572, -2.473, 13.647
-2.680, 13.574, -2.537, 13.586
-2.681, 13.577, -2.431, 13.726
-2.679, 13.575, -2.518, 13.545
-2.682, 13.574, -2.509, 13.457
-2.680, 13.574, -2.590, 13.482
-2.679, 13.573, -2.485, 13.487
-2.679, 13.570, -2.510, 13.493
-2.680, 13.571, -2.574, 13.510
-2.684, 13.570, -2.522, 13.577
-2.684, 13.570, -2.639, 13.571
-2.685, 13.569, -2.585, 13.567
-2.688, 13.570, -2.619, 13.554
-2.687, 13.571, -2.492, 13.528
-2.687, 13.570, -2.376, 13.487
-2.687, 13.574, -2.557, 13.580
-2.685, 13.575, -2.541, 13.450
-2.683, 13.573, -2.564, 13.554
-2.682, 13.573, -2.612, 13.562
-2.680, 13.573, -2.464, 13.516
-2.681, 13.572, -2.566, 13.577
-2.683, 13.573, -2.536, 13.551
-2.683, 13.571, -2.470, 13.522
-2.685, 13.569, -2.508, 13.509
-2.680, 13.572, -2.471, 13.572
-2.680, 13.572, -2.474, 13.536
-2.681, 13.569, -2.429, 13.584
-2.682, 13.570, -2.594, 13.517
-2.681, 13.570, -2.506, 13.491
-2.686, 13.571, -2.582, 13.584
-2.685, 13.571, -2.556, 13.509
-2.684, 13.571, -2.496, 13.605
-2.684, 13.571, -2.508, 13.644
-2.685, 13.570, -2.496, 13.656
-2.685, 13.568, -2.547, 13.536
-2.689, 13.567, -2.584, 13.499
-2.691, 13.567, -2.485, 13.551
-2.694, 13.569, -2.510, 13.565
-2.697, 13.569, -2.604, 13.569
-2.697, 13.572, -2.464, 13.685
-2.697, 13.576, -2.624, 13.541
-2.693, 13.575, -2.485, 13.536
-2.694, 13.575, -2.550, 13.684
-2.696, 13.579, -2.596, 13.629
-2.694, 13.581, -2.459, 13.532
