XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-0.583, 7.293, -0.560, 7.245, 0, 5, 11.0, 914525478
-0.575, 7.287, -0.521, 7.356, 0, 5, 10.8, 914527553
-0.571, 7.294, -0.560, 7.413, 0, 5, 10.9, 914527650
-0.572, 7.312, -0.583, 7.399, 0, 5, 11.1, 914527756
-0.576, 7.312, -0.457, 7.243, 0, 5, 10.9, 914527858
-0.574, 7.309, -0.602, 7.308, 0, 5, 10.9, 914527939
-0.570, 7.307, -0.400, 7.272, 0, 5, 11.0, 914528041
-0.576, 7.301, -0.594, 7.245, 0, 5, 11.1, 914528166
-0.577, 7.305, -0.600, 7.270, 0, 5, 10.7, 914528263
-0.584, 7.309, -0.697, 7.363, 0, 5, 11.2, 914528358
-0.582, 7.301, -0.376, 7.407, 0, 5, 10.9, 914528451
-0.583, 7.299, -0.569, 7.251, 0, 5, 11.1, 914528541
-0.590, 7.301, -0.488, 7.262, 0, 5, 11.1, 914528635
-0.589, 7.300, -0.577, 7.333, 0, 5, 10.7, 914528735
-0.589, 7.297, -0.497, 7.279, 0, 5, 10.9, 914528839
-0.591, 7.297, -0.576, 7.356, 0, 5, 10.6, 914528931
-0.588, 7.296, -0.674, 7.276, 0, 5, 10.9, 914529030
-0.586, 7.300, -0.497, 7.356, 0, 5, 10.8, 914529130
-0.582, 7.288, -0.625, 7.159, 0, 5, 10.8, 914529243
-0.580, 7.288, -0.520, 7.336, 0, 5, 10.9, 914529349
-0.583, 7.286, -0.545, 7.332, 0, 5, 10.9, 914529445
-0.586, 7.285, -0.617, 7.287, 0, 5, 10.9, 914529526
-0.581, 7.292, -0.600, 7.332, 0, 5, 11.1, 914529602
-0.577, 7.292, -0.521, 7.281, 0, 5, 10.6, 914529699
-0.582, 7.296, -0.586, 7.304, 0, 5, 10.6, 914529795
-0.583, 7.289, -0.497, 7.270, 0, 5, 10.9, 914529885
-0.590, 7.291, -0.673, 7.352, 0, 5, 11.0, 914529962
-0.592, 7.295, -0.674, 7.396, 0, 5, 10.8, 914530064
-0.583, 7.304, -0.641, 7.226, 0, 5, 10.8, 914530166
-0.577, 7.301, -0.496, 7.260, 0, 5, 10.9, 914530255
-0.577, 7.301, -0.489, 7.255, 0, 5, 10.9, 914530349
-0.581, 7.298, -0.576, 7.301, 0, 5, 10.7, 914530447
-0.590, 7.298, -0.497, 7.337, 0, 5, 10.8, 914530553
-0.585, 7.297, -0.497, 7.282, 0, 5, 10.7, 914530637
-0.584, 7.298, -0.408, 7.361, 0, 5, 10.9, 914530721
-0.583, 7.295, -0.496, 7.295, 0, 5, 11.0, 914530820
-0.574, 7.299, -0.585, 7.370, 0, 5, 11.1, 914530925
-0.581, 7.304, -0.537, 7.280, 0, 5, 10.8, 914531023
-0.584, 7.293, -0.567, 7.333, 0, 5, 10.9, 914531112
-0.577, 7.292, -0.512, 7.296, 0, 5, 10.7, 914531204
-0.569, 7.289, -0.578, 7.200, 0, 5, 10.8, 914531296
-0.569, 7.278, -0.551, 7.330, 0, 5, 10.8, 914531402
-0.562, 7.270, -0.601, 7.358, 0, 5, 10.8, 914531512
