XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-6.613, -0.615, -6.567, -0.569, 0, 5, 33.1, 112505712
-6.618, -0.619, -6.628, -0.635, 0, 5, 33.1, 112505794
-6.618, -0.621, -6.689, -0.625, 0, 5, 33.9, 112505890
-6.624, -0.632, -6.608, -0.683, 0, 5, 33.5, 112505987
-6.618, -0.639, -6.543, -0.650, 0, 5, 33.0, 112506101
-6.607, -0.628, -6.603, -0.595, 0, 5, 33.0, 112506193
-6.612, -0.630, -6.507, -0.650, 0, 5, 33.3, 112506296
-6.609, -0.620, -6.567, -0.570, 0, 5, 33.0, 112506404
-6.609, -0.618, -6.716, -0.618, 0, 5, 33.1, 112506512
-6.602, -0.628, -6.560, -0.649, 0, 5, 33.2, 112506606
-6.597, -0.627, -6.643, -0.676, 0, 5, 32.9, 112506685
-6.598, -0.634, -6.604, -0.649, 0, 5, 33.1, 112506780
-6.598, -0.634, -6.660, -0.618, 0, 5, 33.2, 112506857
-6.610, -0.634, -6.656, -0.579, 0, 5, 33.3, 112506955
-6.611, -0.642, -6.588, -0.616, 0, 5, 33.2, 112507069
-6.614, -0.633, -6.613, -0.706, 0, 5, 33.4, 112507167
-6.609, -0.635, -6.434, -0.674, 0, 5, 33.5, 112507270
-6.611, -0.630, -6.676, -0.731, 0, 5, 33.0, 112507356
-6.601, -0.637, -6.651, -0.755, 0, 5, 33.4, 112507471
-6.602, -0.636, -6.602, -0.643, 0, 5, 33.3, 112507567
-6.595, -0.642, -6.584, -0.642, 0, 5, 33.4, 112507641
-6.598, -0.643, -6.622, -0.780, 0, 5, 33.5, 112507738
-6.607, -0.647, -6.731, -0.781, 0, 5, 33.2, 112507828
-6.612, -0.638, -6.624, -0.677, 0, 5, 33.5, 112507912
-6.615, -0.645, -6.703, -0.675, 0, 5, 33.5, 112507997
-6.619, -0.648, -6.514, -0.618, 0, 5, 33.2, 112508085
-6.624, -0.655, -6.581, -0.562, 0, 5, 32.7, 112508170
-6.625, -0.655, -6.779, -0.613, 0, 5, 33.5, 112508255
-6.624, -0.652, -6.635, -0.732, 0, 5, 33.0, 112508358
-6.614, -0.640, -6.529, -0.609, 0, 5, 33.2, 112508442
-6.619, -0.639, -6.728, -0.503, 0, 5, 33.2, 112508537
-6.612, -0.638, -6.644, -0.607, 0, 5, 33.2, 112508619
-6.620, -0.636, -6.729, -0.676, 0, 5, 32.9, 112508706
-6.616, -0.641, -6.633, -0.699, 0, 5, 33.2, 112508803
-6.611, -0.638, -6.515, -0.512, 0, 5, 33.4, 112508893
-6.613, -0.633, -6.602, -0.626, 0, 5, 33.3, 112508985
-6.612, -0.631, -6.564, -0.583, 0, 5, 32.9, 112509073
