XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-2.272, -5.307, -2.267, -5.221, 0, 25, 19.9, 114535341
-2.273, -5.304, -2.323, -5.349, 0, 25, 19.2, 114535418
-2.275, -5.303, -2.203, -5.305, 0, 25, 19.6, 114535529
-2.271, -5.307, -2.152, -5.325, 0, 25, 19.9, 114535614
-2.272, -5.307, -2.193, -5.379, 0, 25, 19.5, 114535705
-2.273, -5.310, -2.231, -5.397, 0, 25, 19.3, 114535776
-2.282, -5.310, -2.271, -5.436, 0, 25, 19.4, 114535854
-2.272, -5.317, -2.101, -5.326, 0, 25, 19.5, 114535952
-2.277, -5.324, -2.278, -5.543, 0, 25, 19.5, 114536030
-2.284, -5.322, -2.314, -5.308, 0, 25, 19.6, 114536119
-2.286, -5.325, -2.251, -5.426, 0, 25, 19.6, 114536201
-2.285, -5.330, -2.107, -5.234, 0, 25, 19.7, 114536298
-2.283, -5.325, -2.198, -5.360, 0, 25, 20.1, 114536387
-2.281, -5.334, -2.195, -5.405, 0, 25, 19.4, 114536489
-2.279, -5.337, -2.220, -5.406, 0, 25, 19.6, 114536587
-2.281, -5.332, -2.231, -5.253, 0, 25, 19.6, 114536681
-2.277, -5.329, -2.199, -5.390, 0, 25, 19.4, 114536737
-2.279, -5.336, -2.178, -5.383, 0, 25, 19.8, 114536842
-2.277, -5.335, -2.276, -5.343, 0, 25, 19.3, 114536927
-2.302, -5.344, -2.281, -6.625, 0, 25, 19.5, 114537005
-2.304, -5.380, -1.971, -6.517, 0, 25, 19.7, 114537106
-2.295, -5.435, -2.292, -6.457, 0, 25, 19.3, 114537186
-2.261, -5.492, -1.957, -5.704, 0, 25, 19.7, 114537279
-2.213, -5.550, -1.938, -6.623, 0, 25, 19.6, 114537369
-2.198, -5.606, -2.513, -6.996, 0, 25, 19.7, 114537463
-2.209, -5.601, -1.702, -4.560, 0, 25, 19.9, 114537565
-2.287, -5.452, -2.179, -3.366, 0, 25, 19.4, 114537657
-2.318, -5.469, -2.409, -6.180, 0, 25, 19.5, 114537764
-2.351, -5.453, -2.502, -4.107, 0, 25, 19.3, 114537851
-2.391, -5.405, -1.716, -4.709, 0, 25, 19.6, 114537950
-2.303, -5.426, -1.933, -6.155, 0, 25, 19.6, 114538030
-2.351, -5.376, -1.999, -4.868, 0, 25, 20.0, 114538148
-3.308, -5.319, -25.179, 0.205, 0, 25, 19.5, 114538258
-3.217, -5.439, -0.114, -7.205, 0, 25, 20.0, 114538351
-3.122, -5.485, -0.863, -7.033, 0, 25, 19.5, 114538446
-3.093, -5.488, -1.535, -7.279, 0, 25, 19.6, 114538535
-2.989, -5.476, -0.845, -5.143, 0, 25, 19.8, 114538628
-2.958, -5.446, -3.770, -4.767, 0, 25, 19.6, 114538747
-2.872, -5.395, -3.357, -4.116, 0, 25, 19.3, 114538845
-2.813, -5.375, -2.020, -4.559, 0, 25, 19.5, 114538958
-2.762, -5.318, -1.323, -4.554, 0, 25, 18.8, 114539048
-2.709, -5.254, -2.753, -4.426, 0, 25, 20.0, 114539159
-2.666, -5.210, -3.514, -5.258, 0, 25, 19.3, 114539253
-2.615, -5.154, -0.838, -5.038, 0, 25, 19.5, 114539362
-2.550, -5.106, -2.388, -6.164, 0, 25, 19.1, 114539455
-2.485, -5.059, -2.030, -3.847, 0, 25, 19.6, 114539549
-2.422, -5.053, -0.483, -4.553, 0, 25, 19.6, 114539653
-2.410, -5.012, -1.467, -5.662, 0, 25, 19.4, 114539745
-2.414, -4.918, -2.880, -3.304, 0, 25, 19.4, 114539823
-2.400, -4.881, -0.844, -4.664, 0, 25, 19.8, 114539923
-2.394, -4.802, -3.215, -4.131, 0, 25, 19.3, 114540020
-2.330, -4.700, -2.076, -5.407, 0, 25, 19.6, 114540107
-2.337, -4.627, -3.092, -5.114, 0, 25, 19.7, 114540184
-2.285, -4.615, -0.985, -4.788, 0, 25, 19.6, 114540265
-2.309, -4.454, -1.226, -1.925, 0, 25, 19.3, 114540370
-2.250, -4.313, -0.403, -2.824, 0, 25, 19.4, 114540479
-2.195, -4.188, -0.977, -2.250, 0, 25, 19.7, 114540572
-2.172, -4.092, -1.914, -1.285, 0, 25, 19.7, 114540668
-2.164, -4.010, -3.418, -3.436, 0, 25, 19.5, 114540780
-2.114, -3.924, -0.514, -4.621, 0, 25, 19.6, 114540871
-2.100, -3.840, -3.184, -2.238, 0, 25, 19.8, 114540946
-2.096, -3.656, -3.203, -2.505, 0, 25, 19.9, 114541042
-2.033, -3.632, -0.099, -2.671, 0, 25, 19.3, 114541135
-2.032, -3.449, -2.616, -0.707, 0, 25, 19.7, 114541228
-2.016, -3.279, -0.886, -0.131, 0, 25, 19.5, 114541304
-2.040, -3.142, -5.882, -3.275, 0, 25, 19.5, 114541416
-2.477, -2.995, -15.758, -5.037, 0, 25, 19.7, 114541507
-2.818, -2.962, -3.693, -6.210, 0, 25, 19.6, 114541616
-2.723, -2.856, -3.061, -2.105, 0, 25, 19.3, 114541711
-2.665, -2.855, 0.330, -3.653, 0, 25, 19.9, 114541804
-2.564, -2.693, 0.550, -0.780, 0, 25, 19.5, 114541897
-2.551, -2.489, -3.926, -2.427, 0, 25, 19.6, 114541993
-2.475, -2.385, -0.099, 0.459, 0, 25, 19.4, 114542086
-2.474, -2.295, 0.438, -2.917, 0, 25, 19.6, 114542163
-2.330, -2.012, 1.027, -0.839, 0, 25, 19.5, 114542277
-2.299, -1.811, -2.093, 2.560, 0, 25, 19.5, 114542366
-2.242, -1.740, -4.396, 0.697, 0, 25, 19.5, 114542458
-2.126, -1.659, 0.804, -2.704, 0, 25, 20.0, 114542552
-2.067, -1.539, -0.533, -3.515, 0, 25, 19.8, 114542642
-1.982, -1.371, 0.183, -3.061, 0, 25, 19.3, 114542753
-1.888, -1.158, 2.471, 0.510, 0, 25, 19.5, 114542851
-1.827, -0.892, -0.716, 4.038, 0, 25, 19.4, 114542958
-2.715, -0.841, -6.543, -1.840, 0, 25, 19.6, 114543051
-3.537, -0.812, -47.262, 3.381, 0, 25, 19.6, 114543156
-6.521, 0.061, -50.141, 6.753, 0, 25, 19.5, 114543251
-8.907, 0.149, -11.049, -3.262, 0, 25, 19.5, 114543363
-10.060, 0.366, -46.668, 10.229, 0, 25, 19.2, 114543452
-11.331, 0.563, -20.906, -11.461, 0, 25, 19.4, 114543544
-11.073, -0.053, 2.269, -7.747, 0, 25, 19.6, 114543645
-10.470, -0.126, -0.853, -4.757, 0, 25, 19.5, 114543739
-9.937, -0.030, -5.255, -2.772, 0, 25, 20.1, 114543829
-9.337, -0.116, -2.421, -5.420, 0, 25, 19.3, 114543950
-8.982, -0.125, -3.973, -4.237, 0, 25, 19.8, 114544069
-8.376, -0.046, 2.189, 3.414, 0, 25, 19.3, 114544174
-7.660, 0.127, -4.091, 0.261, 0, 25, 19.6, 114544272
-7.193, 0.228, -4.577, 2.044, 0, 25, 19.5, 114544388
-6.721, 0.288, -0.136, 5.323, 0, 25, 19.4, 114544486
-6.217, 0.234, -4.567, -4.280, 0, 25, 19.6, 114544594
-5.960, 0.313, 2.734, 2.032, 0, 25, 19.9, 114544670
-5.582, 0.479, 2.581, 3.313, 0, 25, 19.5, 114544764
-5.347, 0.514, 2.337, 4.259, 0, 25, 19.8, 114544864
-5.016, 0.533, 2.258, 4.048, 0, 25, 19.4, 114544972
-4.877, 0.585, -2.784, -4.357, 0, 25, 19.7, 114545070
-4.599, 0.631, 0.964, -3.962, 0, 25, 19.6, 114545187
-4.352, 0.623, 3.429, 3.536, 0, 25, 19.3, 114545292
-4.103, 0.769, 2.565, 5.211, 0, 25, 19.6, 114545383
-3.981, 1.028, -4.307, 5.925, 0, 25, 19.3, 114545480
-3.666, 1.535, -2.398, 8.488, 0, 25, 19.7, 114545590
-3.539, 1.494, 0.453, 7.506, 0, 25, 19.5, 114545680
-3.370, 1.475, -2.747, -4.579, 0, 25, 19.6, 114545775
-3.227, 1.595, 1.538, -2.149, 0, 25, 19.6, 114545881
-3.110, 1.559, 3.038, 5.275, 0, 25, 19.6, 114545974
-3.036, 1.449, 0.801, 7.654, 0, 25, 20.0, 114546066
-2.936, 1.378, 0.185, -4.604, 0, 25, 19.9, 114546165
-2.775, 1.571, 3.690, 2.017, 0, 25, 19.3, 114546258
-2.715, 1.483, -2.015, 8.815, 0, 25, 19.7, 114546373
-2.639, 1.475, -0.191, -4.984, 0, 25, 19.5, 114546468
-2.603, 1.546, -6.745, 5.374, 0, 25, 19.5, 114546577
-2.420, 1.718, 3.676, 3.895, 0, 25, 19.5, 114546675
-2.428, 1.431, -6.188, -3.741, 0, 25, 19.4, 114546781
-2.416, 1.281, -7.817, 4.163, 0, 25, 19.6, 114546875
-2.346, 1.251, -2.969, -5.100, 0, 25, 19.1, 114546992
-2.370, 1.248, -1.080, -2.904, 0, 25, 19.6, 114547096
-2.254, 1.358, -1.250, 5.990, 0, 25, 19.4, 114547186
-2.309, 1.308, -6.195, 0.136, 0, 25, 19.6, 114547279
-2.337, 1.369, -3.920, -2.224, 0, 25, 19.6, 114547373
-2.277, 1.396, -0.099, -1.746, 0, 25, 19.5, 114547471
-2.152, 1.386, 3.559, 0.371, 0, 25, 19.5, 114547587
-2.197, 1.425, -6.052, 2.942, 0, 25, 20.0, 114547680
-2.119, 1.637, 2.810, 0.076, 0, 25, 19.6, 114547777
-2.097, 1.534, -4.730, 3.037, 0, 25, 19.6, 114547869
-2.030, 1.519, 3.873, 0.444, 0, 25, 19.6, 114547978
-2.025, 1.530, -4.075, -0.545, 0, 25, 19.6, 114548077
-1.941, 1.565, -1.268, 3.490, 0, 25, 19.5, 114548173
-1.866, 1.475, -5.530, 1.822, 0, 25, 19.4, 114548251
-1.840, 1.517, 1.656, 0.827, 0, 25, 19.6, 114548359
-1.989, 1.593, -3.376, 0.818, 0, 25, 19.3, 114548452
-2.251, 1.402, -2.799, 1.122, 0, 25, 19.3, 114548561
-2.555, 1.268, -8.728, -0.227, 0, 25, 19.8, 114548671
-2.826, 1.219, -9.609, 0.066, 0, 25, 19.6, 114548771
-2.798, 1.090, 0.953, 0.561, 0, 25, 19.4, 114548870
-2.705, 0.993, 0.788, 0.837, 0, 25, 19.4, 114548963
-2.701, 0.996, 0.726, 0.321, 0, 25, 19.5, 114549057
-2.560, 1.151, -4.288, -0.504, 0, 25, 19.0, 114549150
-2.564, 1.179, 1.726, 2.312, 0, 25, 19.3, 114549267
-2.413, 0.806, 1.680, 0.202, 0, 25, 19.5, 114549368
-2.411, 0.721, 0.833, -0.323, 0, 25, 19.4, 114549464
-2.392, 0.923, -6.580, -0.236, 0, 25, 19.6, 114549553
-2.328, 1.288, -4.330, 2.067, 0, 25, 19.7, 114549648
-2.236, 1.305, -3.219, 2.223, 0, 25, 19.6, 114549754
-2.192, 1.308, 1.510, -0.488, 0, 25, 19.6, 114549847
-2.272, 1.320, -5.557, 0.983, 0, 25, 19.6, 114549939
-2.246, 1.379, -0.778, 3.998, 0, 25, 19.6, 114550032
-2.242, 1.491, -0.536, 2.970, 0, 25, 19.7, 114550142
-2.328, 1.307, -4.364, 3.512, 0, 25, 19.6, 114550233
-2.459, 0.971, -0.430, 2.495, 0, 25, 19.7, 114550329
-2.381, 0.752, 0.602, -1.137, 0, 25, 19.5, 114550426
-2.296, 0.574, -1.563, -2.646, 0, 25, 19.2, 114550507
-2.273, 0.650, -0.421, 2.167, 0, 25, 19.5, 114550616
-2.228, 0.837, -1.833, -1.068, 0, 25, 19.7, 114550706
-2.197, 0.686, -5.489, -2.104, 0, 25, 19.8, 114550805
-2.191, 0.601, -4.118, -2.146, 0, 25, 19.9, 114550895
-2.159, 0.686, -4.278, 0.591, 0, 25, 19.2, 114550971
-2.192, 0.807, 1.211, 2.103, 0, 25, 19.5, 114551088
-2.270, 0.688, -5.718, -1.732, 0, 25, 19.4, 114551187
-2.707, 0.794, -4.113, 2.901, 0, 25, 19.7, 114551305
-3.283, 0.671, -20.508, -3.346, 0, 25, 19.8, 114551388
-3.798, 0.579, -35.668, 2.076, 0, 25, 19.5, 114551466
-3.948, 0.309, -8.652, -3.934, 0, 25, 19.7, 114551565
-5.876, 0.439, -34.550, 4.844, 0, 25, 19.5, 114551655
-7.728, 0.317, -12.681, -0.418, 0, 25, 19.8, 114551778
-7.630, 0.215, -1.690, 0.224, 0, 25, 19.4, 114551890
-7.332, 0.615, -6.275, -0.256, 0, 25, 19.4, 114551999
-6.908, 0.728, -1.910, 4.628, 0, 25, 19.9, 114552091
-6.706, 0.363, -5.125, -3.704, 0, 25, 19.7, 114552197
-6.412, 0.207, -0.161, 4.404, 0, 25, 19.2, 114552290
-6.233, 0.272, -1.619, 3.943, 0, 25, 19.1, 114552407
-5.870, 0.510, -0.366, -3.562, 0, 25, 19.7, 114552509
-5.426, 0.578, 0.718, -2.549, 0, 25, 19.6, 114552629
-5.312, 0.489, -8.692, -2.154, 0, 25, 19.5, 114552727
-4.900, 0.365, -4.391, 1.065, 0, 25, 19.5, 114552837
-4.716, 0.321, 0.393, 2.953, 0, 25, 19.7, 114552927
-4.591, 0.236, -0.868, 0.661, 0, 25, 19.5, 114553003
-4.440, 0.299, -4.355, -4.176, 0, 25, 19.8, 114553105
-4.353, 0.286, -2.416, 4.465, 0, 25, 19.6, 114553191
-4.121, 0.119, -1.867, -6.828, 0, 25, 19.6, 114553306
-3.999, 0.219, -1.944, -0.298, 0, 25, 19.8, 114553389
-3.997, 0.350, -0.550, 1.927, 0, 25, 19.7, 114553467
-3.655, 0.852, 1.607, 2.567, 0, 25, 19.4, 114553568
-3.480, 0.711, 1.811, 6.822, 0, 25, 19.3, 114553651
-3.239, 0.220, 0.604, -5.157, 0, 25, 19.8, 114553744
-3.183, 0.022, -3.025, -7.026, 0, 25, 19.5, 114553836
-3.076, 0.114, -1.061, 3.577, 0, 25, 19.6, 114553930
-2.936, 0.044, 1.134, 3.923, 0, 25, 19.8, 114554045
-2.816, 0.032, 2.438, 3.729, 0, 25, 19.7, 114554131
-2.711, 0.106, 0.213, 3.102, 0, 25, 19.7, 114554224
-2.608, -0.199, -1.940, -7.250, 0, 25, 19.7, 114554306
-2.505, -0.538, -1.932, -2.900, 0, 25, 19.9, 114554386
-2.444, -0.815, 1.554, 4.358, 0, 25, 19.3, 114554464
-3.030, -1.428, -4.947, -9.507, 0, 25, 19.4, 114554577
-2.883, -1.408, -5.840, -5.874, 0, 25, 19.5, 114554689
-2.792, -1.079, -3.047, -5.999, 0, 25, 19.5, 114554802
-2.813, -0.937, -2.721, -0.834, 0, 25, 19.9, 114554892
-2.749, -0.939, 1.480, 3.824, 0, 25, 19.5, 114555008
-2.883, -0.984, -0.076, 2.082, 0, 25, 19.6, 114555100
-2.979, -0.883, 1.079, -0.551, 0, 25, 19.4, 114555190
-3.374, -0.739, -15.937, -3.893, 0, 25, 19.4, 114555284
-3.865, -0.703, -2.516, -1.263, 0, 25, 19.6, 114555392
-3.972, -0.619, -8.948, -4.255, 0, 25, 19.7, 114555486
-3.897, -0.545, -3.719, 3.804, 0, 25, 19.3, 114555566
-3.876, -0.840, -3.385, 0.363, 0, 25, 19.4, 114555678
-3.938, -0.698, -9.169, 0.183, 0, 25, 19.6, 114555768
-3.793, 0.087, -4.975, -3.841, 0, 25, 19.5, 114555881
-3.859, 0.456, -4.565, -4.582, 0, 25, 19.5, 114555972
-3.858, 0.033, -13.991, -1.258, 0, 25, 19.4, 114556098
-4.116, -0.031, -10.279, -7.132, 0, 25, 19.6, 114556189
-3.982, 0.396, -4.493, -3.446, 0, 25, 19.4, 114556309
-4.055, 0.005, -2.790, -0.401, 0, 25, 19.8, 114556388
-4.093, -0.551, -7.077, -6.505, 0, 25, 19.4, 114556469
-4.133, -1.111, -10.589, -3.875, 0, 25, 19.3, 114556573
-4.064, -1.126, -1.900, -4.490, 0, 25, 19.2, 114556666
-3.999, -0.737, -6.651, -1.905, 0, 25, 19.6, 114556768
-3.949, 0.000, -0.128, 6.710, 0, 25, 19.9, 114556871
-4.093, 0.194, -10.324, -2.846, 0, 25, 19.9, 114556986
-4.056, -0.102, -5.728, -5.761, 0, 25, 19.8, 114557072
-4.620, -0.585, -4.815, -4.808, 0, 25, 19.5, 114557186
-4.800, -0.120, -7.443, 3.928, 0, 25, 19.3, 114557273
-4.677, 0.169, -0.659, 3.438, 0, 25, 19.7, 114557371
-4.675, 0.449, -3.976, 7.742, 0, 25, 19.3, 114557479
-4.619, 0.241, -2.422, 5.061, 0, 25, 19.5, 114557575
-4.650, 0.506, -0.823, -1.750, 0, 25, 19.7, 114557665
-4.569, 0.671, -6.240, -3.341, 0, 25, 19.7, 114557754
-4.721, 0.653, -4.162, 1.643, 0, 25, 19.7, 114557851
-4.826, 0.756, -2.640, 2.073, 0, 25, 19.4, 114557950
-4.783, 0.662, -11.611, -4.170, 0, 25, 19.3, 114558028
-4.693, 0.483, 4.495, 7.291, 0, 25, 19.6, 114558106
