XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-11.173, 0.213, -11.096, 0.302, 0, 5, 9.2, 695579602
-11.180, 0.218, -11.111, 0.286, 0, 5, 9.3, 695579696
-11.173, 0.217, -11.015, 0.228, 0, 5, 9.7, 695579784
-11.178, 0.223, -11.134, 0.227, 0, 5, 9.0, 695579876
-11.169, 0.218, -11.060, 0.326, 0, 5, 9.4, 695579968
-11.179, 0.226, -10.992, 0.187, 0, 5, 9.3, 695580062
-11.177, 0.223, -11.103, 0.195, 0, 5, 9.3, 695580144
-11.174, 0.229, -11.020, 0.277, 0, 5, 9.3, 695580241
-11.170, 0.228, -11.125, 0.163, 0, 5, 9.6, 695580346
-11.171, 0.234, -11.189, 0.269, 0, 5, 9.3, 695580439
-11.176, 0.229, -11.130, 0.417, 0, 5, 9.6, 695580531
-11.172, 0.222, -11.018, 0.064, 0, 5, 9.5, 695580612
-11.168, 0.218, -11.095, 0.375, 0, 5, 9.4, 695580723
-11.175, 0.224, -11.164, 0.359, 0, 5, 9.2, 695580828
-11.176, 0.226, -11.015, 0.163, 0, 5, 9.3, 695580920
-11.172, 0.221, -11.071, 0.146, 0, 5, 9.7, 695581016
-11.173, 0.214, -11.178, 0.236, 0, 5, 9.6, 695581113
-11.184, 0.221, -11.069, 0.253, 0, 5, 9.0, 695581204
-11.178, 0.229, -11.172, 0.384, 0, 5, 9.4, 695581293
-11.177, 0.233, -11.050, 0.204, 0, 5, 9.4, 695581378
-11.175, 0.229, -11.171, 0.219, 0, 5, 9.5, 695581465
-11.181, 0.231, -11.126, 0.219, 0, 5, 9.2, 695581573
-11.160, 0.221, -10.968, 0.220, 0, 5, 9.5, 695581672
-11.159, 0.214, -11.163, 0.154, 0, 5, 9.3, 695581762
-11.166, 0.214, -11.124, 0.146, 0, 5, 9.6, 695581846
-11.167, 0.210, -11.092, 0.203, 0, 5, 9.2, 695581918
-11.172, 0.212, -11.145, 0.285, 0, 5, 9.5, 695582000
-11.174, 0.203, -11.145, 0.220, 0, 5, 9.5, 695582126
-11.188, 0.225, -11.085, 0.161, 0, 5, 9.3, 695582263
-11.188, 0.217, -11.072, 0.072, 0, 5, 9.3, 695582344
-11.188, 0.212, -11.102, 0.195, 0, 5, 9.7, 695582434
-11.186, 0.213, -11.036, 0.154, 0, 5, 9.4, 695582516
-11.181, 0.212, -11.082, 0.261, 0, 5, 9.3, 695582669
-11.176, 0.213, -11.129, 0.319, 0, 5, 9.5, 695582754
-11.177, 0.222, -11.046, 0.195, 0, 5, 9.4, 695582855
-11.181, 0.221, -11.028, 0.179, 0, 5, 9.6, 695582955
-11.187, 0.226, -11.086, 0.252, 0, 5, 9.6, 695583054
-11.178, 0.224, -10.972, 0.334, 0, 5, 9.3, 695583150
-11.182, 0.221, -11.207, 0.220, 0, 5, 9.4, 695583245
-11.179, 0.216, -10.969, 0.130, 0, 5, 9.6, 695583341
-11.181, 0.222, -11.011, 0.292, 0, 5, 9.4, 695583441
-11.179, 0.220, -10.897, 0.310, 0, 5, 9.3, 695583527
-11.181, 0.216, -11.081, 0.333, 0, 5, 9.2, 695583621
